"Name","FMISID","LPNN","WMO","Lat","Lon","Elevation","Groups","Started",,,
"Oulu Santapankki",103807,,,65.2,25,0,"buoy",2015,,,
"Bay of Bothnia wavebuoy",137228,,,64.7,23.2,0,"buoy",2012,,,
"Northern Baltic Proper wavebuoy",134220,,,59.2,21,0,"buoy",1996,,,
"Pori Kaijakari",104600,,,61.6,21.4,,"buoy",2016,,,
"Sea of Bothnia wavebuoy",134246,,,61.8,20.2,0,"buoy",2011,,,
"Gulf of Finland wavebuoy",134221,,,60,25.2,0,"buoy",1990,,,
"Utö Svartbådarna",108126,,,59.7,21.4,0,"buoy",2024,,,
"Uusikaupunki Vekara",106631,,,60.9,21,0,"buoy",2017,,,
"Hailuoto Marjaniemi Luotsiaseman edusta",669769,,,65,24.6,0,"ice",1904,,,
"Hailuoto lounaispuoli",669476,,,64.9,24.7,0,"ice",1904,,,
"Hanko Itälahti",103932,,,59.8,23,0,"ice",2015,,,
"Helsinki pohjoissatama",100655,,,60.2,25,0,"ice",1907,,,
"Kalajoki Pauha",103931,,,64.2,23.7,0,"ice",2015,,,
"Kaskinen",671968,,,62.3,21.2,0,"ice",1907,,,
"Kaskinen Kummelgrund",100654,,,62.2,21.3,0,"ice",1949,,,
"Kaskinen Sundet",100660,,,62.4,21.2,0,"ice",1907,,,
"Kemi Ajos Luotsiasema",669794,,,65.7,24.5,0,"ice",1907,,,
"Kemi Ajos Luotsipaikka",669795,,,65.6,24.5,0,"ice",1915,,,
"Kirkkonummi Porkkala",103933,,,60,24.3,0,"ice",2015,,,
"Kirkkonummi Porkkala Luotsiaseman edusta",671993,,,60,24.4,0,"ice",1898,,,
"Kirkkonummi Upinniemi",103934,,,60,24.3,0,"ice",2015,,,
"Kokkola Märaskär",100652,,,63.9,22.9,0,"ice",2013,,,
"Kotka Kuusinen",100666,,,60.5,27,0,"ice",2014,,,
"Kotka Tammikatu",100667,,,60.5,27,0,"ice",2014,,,
"Loviisa Boistö",100664,,,60.3,26.5,0,"ice",1915,,,
"Loviisa Kabböle",100661,,,60.3,26.1,0,"ice",2014,,,
"Merikarvia",671969,,,61.8,21.5,0,"ice",1914,,,
"Mustasaari Vallgrund",106956,,,63.2,21.3,0,"ice",2019,,,
"Nauvo Seili",100665,,,60.2,22,0,"ice",2008,,,
"Pietarsaari Mässkär",100653,,,63.7,22.5,0,"ice",2013,,,
"Raahe Heikinkari",100651,,,64.7,24.4,0,"ice",1908,,,
"Rauma Pidesluoto",671970,,,61.1,21.4,0,"ice",1908,,,
"Tornio Röyttä Koivuluoto",669461,,,65.8,24.2,0,"ice",1918,,,
"Turku Kakskerta",100663,,,60.3,22.2,0,"ice",2009,,,
"Turku Ruissalo",103935,,,60.4,22.1,0,"ice",2015,,,
"Vaasa Rönnbuskören",100671,,,63.1,21.5,0,"ice",2014,,,
"Föglö Degerby",134252,,,60,20.4,0,"mareograph",1923,,,
"Hamina Pitäjänsaari",134254,,,60.6,27.2,0,"mareograph",1928,,,
"Hanko Pikku Kolalahti",134253,,,59.8,23,0,"mareograph",1887,,,
"Helsinki Kaivopuisto",132310,345,,60.2,25,2,"mareograph",1904,,,
